Institution;Number;Percent;Amount;Percent;Average Amount
École polytechnique de Montréal;9;.106;1686277;.086;187364
Acadia University (Nova Scotia);1;.012;17500;.001;17500
Active Aging Canada (Shelburne, Ontario);1;.012;19472;.001;19472
Addis Ababa University (Ethiopia);1;.012;6000;0;6000
Advanced Medical Research Institute of Canada (Sudbury, Ont);1;.012;57338;.003;57338
Alberta Children's Hospital (Calgary);3;.035;231687;.012;77229
Alberta Children's Hospital Research Institute;2;.024;132500;.007;66250
Alberta Health Services;5;.059;528784;.027;105757
Alberta Health Services (Provincial);1;.012;20417;.001;20417
Alberta Health Services, Calgary and Area;2;.024;76167;.004;38084
Alberta Ministry of Health (Edmonton, AB);2;.024;87792;.004;43896
All Nations Hope Network (Regina, Saskatchewan);1;.012;910350;.047;910350
Allergen NCE;1;.012;1000;0;1000
Arthritis Research Centre Society of Canada (British Columbia);2;.024;418269;.021;209135
Arthritis Society;2;.024;28125;.001;14063
Athabasca University (Alberta);3;.035;602549;.031;200850
Atlantic Cancer Research Institute (Moncton, NB);1;.012;23607;.001;23607
Autism Ontario (Toronto);1;.012;74667;.004;74667
B.C. Cancer Research Centre (Vancouver);24;.283;5656373;.289;235682
B.C. Centre for Disease Control (Vancouver);13;.153;2286930;.117;175918
B.C. Centre for Excellence in HIV/AIDS (Vancouver);12;.141;3475165;.178;289597
B.C. Children's Hospital (Vancouver);1;.012;371733;.019;371733
B.C. Women's Hospital (Vancouver);2;.024;682380;.035;341190
Baycrest Centre for Geriatric Care (Toronto);12;.141;1934743;.099;161229
Baylor College of Medicine (Texas);3;.035;316666;.016;105555
BC Academic Health Science Network Society;2;.024;7717868;.395;3858934
BC Cancer, part of PHSA (Centre for the North);1;.012;116563;.006;116563
BC Cancer, part of PHSA (Vancouver);52;.613;13951782;.713;268304
BC Cancer, part of PHSA (Victoria);5;.059;588580;.03;117716
BC Children's Hospital Research Institute;28;.33;5773600;.295;206200
BC Mental Health and Addiction Services (BC);2;.024;483796;.025;241898
BC Women's Health Foundation;1;.012;3857178;.197;3857178
Bloorview Research Institute (Toronto, Ontario);3;.035;927439;.047;309146
BORN Ontario (Ottawa);2;.024;182084;.009;91042
Boston University (Massachusetts);1;.012;100000;.005;100000
Boston University Medical Center;2;.024;151250;.008;75625
Brandon University (Manitoba);2;.024;257500;.013;128750
Brigham and Women's Hospital (Boston);5;.059;278708;.014;55742
British Columbia Centre on Substance Use (Vancouver);5;.059;399580;.02;79916
British Columbia Institute of Technology (Burnaby);1;.012;200000;.01;200000
British Columbia Ministry of Health (Victoria);4;.047;101292;.005;25323
British Columbia Ministry of Mental Health and Addictions (Victoria, BC);2;.024;78500;.004;39250
British Columbia Patient Safety & Quality Council (Vancouver, BC);1;.012;43500;.002;43500
Broad Institute of MIT and Harvard (Cambridge, MA);3;.035;156000;.008;52000
Brock University (Ontario);5;.059;1340930;.069;268186
Brown University (Rhode Island);1;.012;22500;.001;22500
Bruyère Research Institute;13;.153;1002711;.051;77132
Cégep régional de Lanaudière (Repentigny, Québec);1;.012;9200;0;9200
Cégep Saint Jérôme (Québec);1;.012;3112;0;3112
Canadian Aboriginal AIDS Network (Vancouver);7;.083;1150998;.059;164428
Canadian Association of Gastroenterology (Oakville, Ontario);2;.024;30000;.002;15000
Canadian Association of Research Ethics Boards (Ottawa);1;.012;34180;.002;34180
Canadian Bioethics Society (Calgary, Alberta);1;.012;1000;0;1000
Canadian Blood Services (Ottawa);1;.012;20417;.001;20417
Canadian Council on Animal Care (Ottawa);1;.012;2800000;.143;2800000
Canadian Institute for Health Information (Toronto, Ontario);2;.024;109667;.006;54834
Canadian Institute for Health Information/CIHI (Ottawa);2;.024;48125;.002;24063
Canadian Nurses Association (Ottawa);1;.012;20417;.001;20417
Canadian Red Cross Society (Ottawa, Ontario);1;.012;13125;.001;13125
Canadian Science Centre for Human and Animal Health (Winnipeg);1;.012;141270;.007;141270
Canadian Society for Immunology;1;.012;10000;.001;10000
Canadian Society for International Health (Ottawa);1;.012;10000;.001;10000
Cancer Care Ontario (Toronto);5;.059;710767;.036;142153
Cape Breton University;1;.012;314160;.016;314160
Carleton University (Ottawa);20;.236;2580985;.132;129049
Centre de recherche de l'Hôpital Maisonneuve-Rosemont (Montréal);28;.33;6637360;.339;237049
Centre de recherche de L'Hôtel-Dieu de Québec;2;.024;849101;.043;424551
Centre de recherche Institut universitaire en santé mentale de Montréal;7;.083;1324531;.068;189219
Centre de recherche sur le vieillissement (QC);3;.035;84738;.004;28246
Centre de recherche Université Laval-Robert-Giffard (QC);7;.083;1112166;.057;158881
Centre for Addiction and Mental Health (Toronto);113;1.332;20559122;1.051;181939
Centre for Gender and Sexual Health Equity (BC);7;.083;1502958;.077;214708
Centre for Health Evaluation & Outcome Sciences (Vancouver, BC);3;.035;430739;.022;143580
Centre for Hip Health and Mobility (Vancouver, BC);1;.012;69998;.004;69998
Centre for Innovation in Autism and Intellectual Disabilities (Montréal);1;.012;49667;.003;49667
Centre for Interdisciplinary Res. in Rehabilitation & Social Integration;5;.059;194618;.01;38924
Centre for Interdisciplinary Research in Rehabilitation of Greater Montreal;2;.024;110617;.006;55309
